External Library Name, Link to License, License Name, Binaries using the license, URL
hostapd, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev/NOTICE, BSD, emugl_common.so ./emulator-check ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless ./nimble_bridge ./qsn gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-armel android-emu-shared.so ./qemu-img, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev
picosha2, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/LICENSE, MIT, emugl_common.so ./emulator-check ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless android-emu-metrics.so ./nimble_bridge ./qsn gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-armel android-emu-shared.so ./qemu-img, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/
keymaster-3, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3/NOTICE, Apache-2.0, emugl_common.so ./emulator-check ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless ./nimble_bridge ./qsn gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-armel android-emu-shared.so ./qemu-img, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3
gpr, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, emugl_common.so ./emulator-check ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless ./nimble_bridge ./qsn gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-armel android-emu-shared.so ./qemu-img, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
grpc++_reflection, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./emulator-check ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
Qt 5, https://doc.qt.io/qt-5/licensing.html, LGPL-3.0-only, lib64/qt/plugins/imageformats/libqicns.so lib64/qt/lib/libQt5PrintSupportAndroidEmu.so.5 lib64/qt/plugins/bearer/libqnmbearer.so lib64/qt/plugins/imageformats/libqico.so lib64/qt/plugins/imageformats/libqjpeg.so lib64/qt/lib/libQt5CoreAndroidEmu.so.5 lib64/qt/plugins/imageformats/libqgif.so lib64/qt/plugins/iconengines/libqsvgicon.so lib64/qt/lib/libQt5GuiAndroidEmu.so.5 lib64/qt/plugins/imageformats/libqwbmp.so lib64/qt/lib/libQt5WidgetsAndroidEmu.so.5 lib64/qt/plugins/bearer/libqconnmanbearer.so lib64/qt/plugins/imageformats/libqtiff.so lib64/qt/lib/libQt5NetworkAndroidEmu.so.5 ./emulator lib64/qt/lib/libQt5SvgAndroidEmu.so.5 lib64/qt/lib/libQt5XcbQpaAndroidEmu.so.5 lib64/qt/plugins/platforms/libqxcb.so lib64/qt/lib/libQt5DBusAndroidEmu.so.5 lib64/qt/lib/libfreetype.so.6 lib64/qt/plugins/platforminputcontexts/libcomposeplatforminputcontextplugin.so lib64/qt/plugins/bearer/libqgenericbearer.so lib64/qt/plugins/imageformats/libqwebp.so lib64/qt/plugins/imageformats/libqtga.so lib64/qt/plugins/imageformats/libqsvg.so, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
Qt Svg, https://doc.qt.io/qt-5.12/qtSvg-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-aarch64/qemu-system-aarch64 ./emulator-check ./qemu/linux-aarch64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
LibXml2, https://github.com/GNOME/libxml2/blob/mainline/Copyright, MIT, emugl_common.so ./emulator-check ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./emulator ./qemu/linux-aarch64/qemu-system-aarch64-headless android-emu-metrics.so ./nimble_bridge ./qemu-img ./qsn gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-armel android-emu-shared.so, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libxml2-2.9.2.tar.gz
glib-2.0, https://android.googlesource.com/platform/external/bluetooth/glib/+/refs/heads/emu-master-dev/COPYING, LGPL-2.1-only, emugl_common.so glib2_linux-aarch64.so ./emulator-check ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless ./nimble_bridge ./qsn gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-armel android-emu-shared.so ./qemu-img, https://android.googlesource.com/platform/external/bluetooth/glib/+/refs/heads/emu-master-dev/
angle, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, gfxstream_backend.so, https://chromium.googlesource.com/angle/angle
vulkan-sdk, https://vulkan.lunarg.com/software/license/vulkan-1.2.162.1-linux-license-summary.txt, Apache-2.0, ./emulator, https://vulkan.lunarg.com/sdk/home
gtest, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master/LICENSE, BSD3, ./emulator, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master
breakpad, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev/LICENSE, BSD-3-Clause, ./qemu/linux-aarch64/qemu-system-aarch64 ./crashreport ./qemu/linux-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev
libcurl, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev/NOTICE, curl, emugl_common.so android-emu-curl.so ./emulator-check ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./emulator ./qemu/linux-aarch64/qemu-system-aarch64-headless android-emu-metrics.so ./nimble_bridge ./qemu-img ./qsn gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-armel android-emu-shared.so, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev
nlohmann_json, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/NOTICE, MIT, emugl_common.so ./emulator-check ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless ./nimble_bridge ./qsn gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-armel android-emu-shared.so ./qemu-img, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/
uuid, https://spdx.org/licenses/BSD-3-Clause.html, BSD-3-Clause, emugl_common.so android-emu-curl.so ./emulator-check ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./emulator ./qemu/linux-aarch64/qemu-system-aarch64-headless android-emu-metrics.so ./nimble_bridge ./qemu-img ./qsn gfxstream_backend.so ./crashreport ./qemu/linux-aarch64/qemu-system-armel android-emu-agents.so android-emu-shared.so, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libuuid1-2.25.2-2.tar.xz
dtc, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/README.license, GPL-2.0-or-later, ./emulator-check ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/
Tink, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master/LICENSE, Apache-2.0, ./nimble_bridge ./emulator-check ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master
ext4_utils, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/NOTICE, Apache-2.0, emugl_common.so ./emulator-check ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./emulator ./qemu/linux-aarch64/qemu-system-aarch64-headless android-emu-metrics.so ./nimble_bridge ./qemu-img ./qsn gfxstream_backend.so ./crashreport ./qemu/linux-aarch64/qemu-system-armel android-emu-agents.so android-emu-shared.so, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/
Qt Widgets, https://doc.qt.io/qt-5.12/qtWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-aarch64/qemu-system-aarch64 ./emulator-check ./qemu/linux-aarch64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
Qt Core, https://doc.qt.io/qt-5.12/qtCore-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-aarch64/qemu-system-aarch64 ./emulator-check ./qemu/linux-aarch64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
pixman-1, https://gitlab.freedesktop.org/pixman/pixman/blob/master/COPYING, MIT, ./emulator-check ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/pixman-0.34.0.tar.gz
upb, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, emugl_common.so ./emulator-check ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless ./nimble_bridge ./qsn gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-armel android-emu-shared.so ./qemu-img, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
address_sorting, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, emugl_common.so ./emulator-check ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless ./nimble_bridge ./qsn gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-armel android-emu-shared.so ./qemu-img, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
grpc, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, emugl_common.so ./emulator-check ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless ./nimble_bridge ./qsn gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-armel android-emu-shared.so ./qemu-img, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
protobuf, BSD-3-Clause, BSD-3-Clause, android-emu-protos.so ./emulator-check ./qemu/linux-aarch64/qemu-system-aarch64-headless android-emu-metrics.so ./qsn ./crashreport libprotobuf.so android-emu-shared.so emugl_common.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64 android-emu-tracing.so ./emulator ./nimble_bridge gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-armel ./qemu-img, 
ffmpeg, https://github.com/FFmpeg/FFmpeg/blob/master/LICENSE.md, GPL-2.0-or-later, emugl_common.so ./emulator-check ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless ./nimble_bridge ./qsn gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-armel android-emu-shared.so ./qemu-img, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/ffmpeg-3.4.5.tar.xz
mynewt-nimble, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/mynewt-nimble/LICENSE, Apache=2.0, ./nimble_bridge, 
tcmalloc, https://chromium.googlesource.com/external/github.com/gperftools/gperftools/+/refs/heads/master/COPYING, BSD-3-Clause, lib64/libtcmalloc_minimal.so.4 ./emulator, https://chromium.googlesource.com/external/github.com/gperftools/gperftools/+/refs/heads/master
Qt Gui, https://doc.qt.io/qt-5.12/qtGui-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-aarch64/qemu-system-aarch64 ./emulator-check ./qemu/linux-aarch64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
libjpeg, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/NOTICE, IJG, emugl_common.so ./emulator-check ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless ./nimble_bridge ./qsn gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-armel android-emu-shared.so ./qemu-img, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/
